CMDLINE ocean sail
MEM 0.187500 1742375178.2905
MEM 28.609375 1742375178.3910
MEM 42.406250 1742375178.4923
MEM 52.921875 1742375178.5928
MEM 64.890625 1742375178.6949
MEM 74.625000 1742375178.8001
MEM 74.625000 1742375178.9049
MEM 74.625000 1742375179.0055
MEM 74.812500 1742375179.1106
MEM 74.812500 1742375179.2115
MEM 74.812500 1742375179.3151
MEM 75.218750 1742375179.4204
MEM 75.218750 1742375179.5235
MEM 75.218750 1742375179.6291
MEM 75.546875 1742375179.7326
MEM 75.546875 1742375179.8375
MEM 75.546875 1742375179.9398
MEM 75.546875 1742375180.0411
MEM 75.640625 1742375180.1419
MEM 75.640625 1742375180.2473
MEM 75.640625 1742375180.3524
MEM 75.640625 1742375180.4546
MEM 75.640625 1742375180.5586
MEM 75.640625 1742375180.6640
MEM 76.796875 1742375180.7643
MEM 76.796875 1742375180.8697
MEM 76.796875 1742375180.9727
MEM 76.859375 1742375181.0775
MEM 76.859375 1742375181.1824
MEM 76.859375 1742375181.2858
MEM 76.921875 1742375181.3906
MEM 76.921875 1742375181.4962
MEM 76.921875 1742375181.5995
MEM 76.937500 1742375181.7025
MEM 76.937500 1742375181.8077
MEM 77.046875 1742375181.9131
MEM 77.062500 1742375182.0184
MEM 77.062500 1742375182.1237
MEM 77.078125 1742375182.2290
MEM 77.078125 1742375182.3301
MEM 77.078125 1742375182.4312
MEM 77.078125 1742375182.5367
MEM 77.078125 1742375182.6404
MEM 77.125000 1742375182.7407
MEM 77.125000 1742375182.8456
MEM 77.125000 1742375182.9510
MEM 77.125000 1742375183.0564
MEM 77.125000 1742375183.1617
MEM 77.125000 1742375183.2671
MEM 77.125000 1742375183.3715
MEM 77.125000 1742375183.4728
MEM 77.125000 1742375183.5735
MEM 77.125000 1742375183.6774
MEM 77.546875 1742375183.7817
MEM 78.046875 1742375183.8851
MEM 78.046875 1742375183.9905
MEM 78.078125 1742375184.0914
MEM 78.062500 1742375184.1944
MEM 78.062500 1742375184.2956
MEM 78.093750 1742375184.3964
MEM 78.093750 1742375184.5018
MEM 78.093750 1742375184.6073
MEM 78.187500 1742375184.7092
MEM 78.187500 1742375184.8125
MEM 79.171875 1742375184.9179
MEM 79.218750 1742375185.0203
MEM 79.281250 1742375185.1255
MEM 79.296875 1742375185.2309
MEM 79.296875 1742375185.3355
MEM 79.265625 1742375185.4391
MEM 79.296875 1742375185.5419
MEM 79.296875 1742375185.6474
MEM 79.343750 1742375185.7486
MEM 79.343750 1742375185.8537
MEM 79.343750 1742375185.9590
MEM 79.343750 1742375186.0642
MEM 79.343750 1742375186.1698
MEM 79.343750 1742375186.2751
MEM 79.343750 1742375186.3805
