CMDLINE ocean sail
MEM 0.187500 1742375354.1489
MEM 29.296875 1742375354.2514
MEM 43.046875 1742375354.3566
MEM 53.578125 1742375354.4617
MEM 65.328125 1742375354.5670
MEM 75.156250 1742375354.6672
MEM 75.156250 1742375354.7682
MEM 75.156250 1742375354.8736
MEM 75.343750 1742375354.9763
MEM 75.343750 1742375355.0826
MEM 75.343750 1742375355.1876
MEM 75.718750 1742375355.2911
MEM 75.718750 1742375355.3945
MEM 75.718750 1742375355.4997
MEM 75.718750 1742375355.6049
MEM 75.718750 1742375355.7104
MEM 76.125000 1742375355.8149
MEM 76.125000 1742375355.9177
MEM 76.125000 1742375356.0199
MEM 76.125000 1742375356.1235
MEM 77.046875 1742375356.2258
MEM 77.046875 1742375356.3297
MEM 77.046875 1742375356.4308
MEM 77.109375 1742375356.5342
MEM 77.109375 1742375356.6384
MEM 77.156250 1742375356.7437
MEM 77.156250 1742375356.8448
MEM 77.156250 1742375356.9470
MEM 77.156250 1742375357.0502
MEM 77.156250 1742375357.1554
MEM 77.156250 1742375357.2568
MEM 77.171875 1742375357.3582
MEM 77.171875 1742375357.4621
MEM 77.171875 1742375357.5675
MEM 77.203125 1742375357.6691
MEM 77.203125 1742375357.7700
MEM 77.203125 1742375357.8740
MEM 77.218750 1742375357.9792
MEM 77.218750 1742375358.0846
MEM 77.218750 1742375358.1874
MEM 77.359375 1742375358.2927
MEM 77.359375 1742375358.3977
MEM 77.359375 1742375358.5031
MEM 78.390625 1742375358.6084
MEM 78.437500 1742375358.7136
MEM 78.453125 1742375358.8190
MEM 78.453125 1742375358.9218
MEM 78.593750 1742375359.0246
MEM 78.609375 1742375359.1255
MEM 78.609375 1742375359.2308
MEM 78.609375 1742375359.3362
MEM 78.656250 1742375359.4377
MEM 78.656250 1742375359.5405
MEM 78.656250 1742375359.6452
MEM 78.578125 1742375359.7464
MEM 78.578125 1742375359.8516
MEM 78.578125 1742375359.9572
MEM 79.234375 1742375360.0625
MEM 79.234375 1742375360.1636
MEM 79.234375 1742375360.2669
MEM 79.234375 1742375360.3675
MEM 79.234375 1742375360.4702
MEM 79.250000 1742375360.5710
MEM 79.250000 1742375360.6728
MEM 79.250000 1742375360.7777
MEM 79.250000 1742375360.8821
MEM 79.250000 1742375360.9876
MEM 79.578125 1742375361.0893
MEM 79.578125 1742375361.1935
MEM 79.578125 1742375361.2963
MEM 79.578125 1742375361.4015
MEM 79.578125 1742375361.5040
MEM 79.578125 1742375361.6056
MEM 79.625000 1742375361.7108
MEM 79.625000 1742375361.8138
MEM 79.625000 1742375361.9168
MEM 79.625000 1742375362.0173
MEM 79.625000 1742375362.1208
MEM 79.625000 1742375362.2261
MEM 79.640625 1742375362.3290
MEM 79.640625 1742375362.4298
MEM 79.640625 1742375362.5326
MEM 79.656250 1742375362.6380
MEM 79.656250 1742375362.7402
MEM 79.656250 1742375362.8431
MEM 79.656250 1742375362.9447
MEM 79.750000 1742375363.0484
MEM 80.015625 1742375363.1526
MEM 80.015625 1742375363.2543
MEM 80.015625 1742375363.3562
MEM 80.015625 1742375363.4570
MEM 80.515625 1742375363.5582
MEM 80.515625 1742375363.6638
MEM 80.515625 1742375363.7651
MEM 80.578125 1742375363.8703
MEM 80.578125 1742375363.9710
MEM 80.578125 1742375364.0723
MEM 80.625000 1742375364.1777
MEM 80.625000 1742375364.2822
MEM 80.625000 1742375364.3865
MEM 80.765625 1742375364.4873
MEM 82.125000 1742375364.5925
MEM 82.281250 1742375364.6964
MEM 82.281250 1742375364.8011
MEM 82.281250 1742375364.9051
MEM 82.281250 1742375365.0103
MEM 82.312500 1742375365.1156
MEM 82.421875 1742375365.2165
MEM 82.437500 1742375365.3218
MEM 82.437500 1742375365.4243
MEM 82.484375 1742375365.5267
MEM 82.500000 1742375365.6319
MEM 82.500000 1742375365.7325
MEM 82.500000 1742375365.8352
MEM 82.500000 1742375365.9400
MEM 82.500000 1742375366.0405
MEM 82.500000 1742375366.1459
MEM 82.500000 1742375366.2513
MEM 82.500000 1742375366.3553
MEM 82.515625 1742375366.4579
MEM 86.390625 1742375366.5587
MEM 87.109375 1742375366.6638
MEM 88.328125 1742375366.7674
MEM 89.359375 1742375366.8703
MEM 90.031250 1742375366.9741
