CMDLINE ocean sail
MEM 0.156250 1742374289.5022
MEM 30.578125 1742374289.6074
MEM 45.625000 1742374289.7076
MEM 57.890625 1742374289.8127
MEM 71.031250 1742374289.9179
MEM 75.281250 1742374290.0232
MEM 75.281250 1742374290.1261
MEM 75.593750 1742374290.2316
MEM 75.593750 1742374290.3366
MEM 75.593750 1742374290.4381
MEM 75.906250 1742374290.5434
MEM 75.906250 1742374290.6488
MEM 75.906250 1742374290.7511
MEM 76.109375 1742374290.8547
MEM 76.109375 1742374290.9586
MEM 76.109375 1742374291.0598
MEM 76.109375 1742374291.1602
MEM 76.109375 1742374291.2618
MEM 76.109375 1742374291.3661
MEM 76.109375 1742374291.4702
MEM 76.109375 1742374291.5712
MEM 76.109375 1742374291.6766
MEM 77.328125 1742374291.7805
MEM 77.328125 1742374291.8839
MEM 77.328125 1742374291.9857
MEM 77.406250 1742374292.0869
MEM 77.406250 1742374292.1882
MEM 77.406250 1742374292.2928
MEM 77.468750 1742374292.3953
MEM 77.468750 1742374292.5003
MEM 77.468750 1742374292.6011
MEM 77.546875 1742374292.7065
MEM 77.546875 1742374292.8090
MEM 77.546875 1742374292.9127
MEM 77.593750 1742374293.0138
MEM 77.593750 1742374293.1191
MEM 77.593750 1742374293.2225
MEM 77.671875 1742374293.3280
MEM 77.671875 1742374293.4335
MEM 77.671875 1742374293.5362
MEM 77.671875 1742374293.6417
MEM 77.671875 1742374293.7447
MEM 77.671875 1742374293.8464
MEM 77.687500 1742374293.9496
MEM 77.687500 1742374294.0538
MEM 77.687500 1742374294.1582
MEM 77.687500 1742374294.2595
MEM 77.687500 1742374294.3608
MEM 77.687500 1742374294.4646
MEM 77.687500 1742374294.5688
MEM 77.687500 1742374294.6742
MEM 77.687500 1742374294.7789
MEM 77.734375 1742374294.8838
MEM 77.734375 1742374294.9849
MEM 77.734375 1742374295.0903
MEM 77.734375 1742374295.1958
MEM 77.734375 1742374295.3004
MEM 77.718750 1742374295.4053
MEM 77.718750 1742374295.5059
MEM 77.718750 1742374295.6113
MEM 77.718750 1742374295.7169
MEM 77.718750 1742374295.8194
MEM 77.718750 1742374295.9249
MEM 77.718750 1742374296.0271
MEM 77.718750 1742374296.1291
MEM 77.718750 1742374296.2298
MEM 77.718750 1742374296.3323
MEM 77.718750 1742374296.4332
MEM 77.718750 1742374296.5362
MEM 77.718750 1742374296.6373
MEM 77.718750 1742374296.7396
MEM 77.718750 1742374296.8448
MEM 78.750000 1742374296.9500
MEM 78.828125 1742374297.0518
MEM 78.828125 1742374297.1552
MEM 78.859375 1742374297.2581
MEM 78.937500 1742374297.3628
MEM 78.968750 1742374297.4648
MEM 78.968750 1742374297.5702
MEM 78.968750 1742374297.6712
MEM 79.000000 1742374297.7765
MEM 79.000000 1742374297.8772
MEM 79.000000 1742374297.9825
MEM 79.000000 1742374298.0842
MEM 79.000000 1742374298.1851
MEM 79.000000 1742374298.2905
MEM 79.000000 1742374298.3957
MEM 79.703125 1742374298.5004
MEM 79.703125 1742374298.6058
MEM 79.718750 1742374298.7104
MEM 79.718750 1742374298.8119
MEM 79.718750 1742374298.9161
MEM 79.718750 1742374299.0203
MEM 79.718750 1742374299.1212
MEM 79.718750 1742374299.2267
MEM 80.515625 1742374299.3314
MEM 80.515625 1742374299.4368
MEM 80.515625 1742374299.5402
MEM 80.515625 1742374299.6439
MEM 80.515625 1742374299.7492
MEM 80.546875 1742374299.8504
MEM 80.546875 1742374299.9558
MEM 80.546875 1742374300.0603
MEM 80.578125 1742374300.1640
MEM 80.578125 1742374300.2649
MEM 80.578125 1742374300.3658
MEM 80.578125 1742374300.4710
MEM 80.578125 1742374300.5764
MEM 80.687500 1742374300.6818
MEM 80.703125 1742374300.7844
MEM 80.703125 1742374300.8887
MEM 80.703125 1742374300.9906
MEM 80.703125 1742374301.0937
MEM 80.703125 1742374301.1993
MEM 80.703125 1742374301.3038
MEM 80.703125 1742374301.4063
MEM 80.703125 1742374301.5118
MEM 80.703125 1742374301.6143
MEM 80.703125 1742374301.7194
MEM 80.703125 1742374301.8221
MEM 80.703125 1742374301.9272
MEM 81.109375 1742374302.0325
MEM 81.109375 1742374302.1345
MEM 81.109375 1742374302.2355
MEM 81.109375 1742374302.3365
MEM 81.140625 1742374302.4372
MEM 81.140625 1742374302.5419
MEM 81.171875 1742374302.6472
MEM 81.187500 1742374302.7525
MEM 81.187500 1742374302.8542
MEM 81.187500 1742374302.9588
MEM 81.203125 1742374303.0595
MEM 81.203125 1742374303.1650
MEM 81.203125 1742374303.2703
MEM 81.140625 1742374303.3711
MEM 81.140625 1742374303.4747
MEM 81.140625 1742374303.5780
MEM 81.140625 1742374303.6834
MEM 81.906250 1742374303.7880
MEM 82.500000 1742374303.8913
MEM 82.765625 1742374303.9920
MEM 82.953125 1742374304.0941
MEM 83.140625 1742374304.1963
MEM 83.156250 1742374304.3016
MEM 83.156250 1742374304.4069
MEM 83.171875 1742374304.5090
MEM 83.171875 1742374304.6136
MEM 83.187500 1742374304.7186
MEM 83.187500 1742374304.8194
MEM 83.250000 1742374304.9246
MEM 83.250000 1742374305.0252
MEM 83.250000 1742374305.1264
MEM 83.265625 1742374305.2288
MEM 83.265625 1742374305.3318
MEM 83.281250 1742374305.4353
MEM 83.296875 1742374305.5403
MEM 83.312500 1742374305.6454
MEM 83.328125 1742374305.7487
MEM 83.328125 1742374305.8538
MEM 83.328125 1742374305.9591
MEM 83.328125 1742374306.0598
MEM 83.328125 1742374306.1609
MEM 83.328125 1742374306.2655
MEM 83.328125 1742374306.3707
MEM 83.328125 1742374306.4720
MEM 83.328125 1742374306.5781
MEM 83.328125 1742374306.6832
MEM 83.328125 1742374306.7848
MEM 83.328125 1742374306.8896
MEM 85.265625 1742374306.9947
MEM 85.968750 1742374307.0999
MEM 86.234375 1742374307.2032
MEM 87.015625 1742374307.3052
MEM 87.484375 1742374307.4061
MEM 88.218750 1742374307.5111
MEM 88.750000 1742374307.6114
MEM 89.234375 1742374307.7150
MEM 89.796875 1742374307.8168
MEM 90.562500 1742374307.9219
MEM 91.046875 1742374308.0269
MEM 91.390625 1742374308.1287
MEM 91.765625 1742374308.2294
MEM 92.093750 1742374308.3314
MEM 92.562500 1742374308.4365
MEM 93.078125 1742374308.5381
MEM 93.578125 1742374308.6432
MEM 94.046875 1742374308.7483
MEM 94.500000 1742374308.8534
MEM 94.875000 1742374308.9545
MEM 95.406250 1742374309.0568
MEM 94.734375 1742374309.1618
MEM 94.734375 1742374309.2651
MEM 94.734375 1742374309.3703
MEM 94.765625 1742374309.4747
MEM 94.796875 1742374309.5794
MEM 94.796875 1742374309.6822
MEM 94.812500 1742374309.7865
MEM 94.812500 1742374309.8918
MEM 94.812500 1742374309.9974
MEM 94.812500 1742374310.0999
MEM 94.843750 1742374310.2054
MEM 94.843750 1742374310.3091
MEM 94.843750 1742374310.4144
MEM 94.843750 1742374310.5183
MEM 94.843750 1742374310.6237
MEM 94.875000 1742374310.7289
MEM 94.875000 1742374310.8342
MEM 94.875000 1742374310.9369
MEM 94.875000 1742374311.0402
MEM 94.812500 1742374311.1431
MEM 94.812500 1742374311.2470
MEM 94.812500 1742374311.3489
MEM 94.812500 1742374311.4526
MEM 94.812500 1742374311.5570
MEM 94.812500 1742374311.6608
MEM 94.812500 1742374311.7661
MEM 94.812500 1742374311.8703
MEM 94.812500 1742374311.9717
MEM 94.812500 1742374312.0725
MEM 94.812500 1742374312.1746
MEM 94.812500 1742374312.2799
MEM 94.812500 1742374312.3845
MEM 94.812500 1742374312.4879
MEM 94.812500 1742374312.5888
MEM 94.843750 1742374312.6941
MEM 94.843750 1742374312.7970
MEM 94.843750 1742374312.9007
MEM 94.843750 1742374313.0061
MEM 94.843750 1742374313.1091
MEM 94.843750 1742374313.2117
MEM 94.843750 1742374313.3156
MEM 94.843750 1742374313.4196
MEM 94.843750 1742374313.5224
MEM 94.843750 1742374313.6246
MEM 94.843750 1742374313.7298
MEM 94.843750 1742374313.8348
MEM 94.843750 1742374313.9400
MEM 94.843750 1742374314.0451
MEM 94.843750 1742374314.1456
MEM 94.843750 1742374314.2507
MEM 94.843750 1742374314.3511
MEM 94.906250 1742374314.4534
MEM 94.906250 1742374314.5588
MEM 94.906250 1742374314.6592
MEM 94.906250 1742374314.7608
MEM 94.906250 1742374314.8639
MEM 94.906250 1742374314.9687
MEM 94.906250 1742374315.0742
MEM 94.906250 1742374315.1776
MEM 94.906250 1742374315.2823
MEM 94.906250 1742374315.3860
MEM 94.937500 1742374315.4871
MEM 94.984375 1742374315.5915
MEM 94.984375 1742374315.6942
