CMDLINE ocean sail
MEM 0.187500 1742375994.6988
MEM 29.062500 1742375994.7994
MEM 43.562500 1742375994.9045
MEM 53.625000 1742375995.0076
MEM 65.125000 1742375995.1127
MEM 75.140625 1742375995.2180
MEM 75.140625 1742375995.3233
MEM 75.140625 1742375995.4287
MEM 75.453125 1742375995.5314
MEM 75.453125 1742375995.6367
MEM 75.453125 1742375995.7418
MEM 75.781250 1742375995.8473
MEM 75.781250 1742375995.9524
MEM 76.031250 1742375996.0549
MEM 76.031250 1742375996.1574
MEM 76.031250 1742375996.2585
MEM 76.218750 1742375996.3637
MEM 76.218750 1742375996.4663
MEM 76.218750 1742375996.5716
MEM 76.218750 1742375996.6742
MEM 77.281250 1742375996.7779
MEM 77.281250 1742375996.8784
MEM 77.281250 1742375996.9837
MEM 77.296875 1742375997.0892
MEM 77.296875 1742375997.1921
MEM 77.296875 1742375997.2929
MEM 77.296875 1742375997.3984
MEM 77.343750 1742375997.5037
MEM 77.343750 1742375997.6082
MEM 77.421875 1742375997.7087
MEM 77.421875 1742375997.8101
MEM 77.421875 1742375997.9150
MEM 77.421875 1742375998.0206
MEM 77.437500 1742375998.1219
MEM 77.437500 1742375998.2273
MEM 77.437500 1742375998.3322
MEM 77.437500 1742375998.4341
MEM 77.671875 1742375998.5394
MEM 77.671875 1742375998.6449
MEM 77.671875 1742375998.7497
MEM 77.671875 1742375998.8504
MEM 77.781250 1742375998.9557
MEM 77.781250 1742375999.0612
MEM 77.781250 1742375999.1666
MEM 77.781250 1742375999.2689
MEM 77.781250 1742375999.3697
MEM 77.781250 1742375999.4750
MEM 77.781250 1742375999.5805
MEM 77.781250 1742375999.6849
MEM 77.781250 1742375999.7864
MEM 77.781250 1742375999.8920
MEM 77.781250 1742375999.9928
MEM 77.812500 1742376000.0953
MEM 77.812500 1742376000.1989
MEM 77.796875 1742376000.3043
MEM 77.796875 1742376000.4054
MEM 77.796875 1742376000.5065
MEM 78.734375 1742376000.6120
MEM 78.921875 1742376000.7175
MEM 78.921875 1742376000.8200
