CMDLINE ocean sail
MEM 0.203125 1742372603.3384
MEM 29.421875 1742372603.4436
MEM 41.453125 1742372603.5487
MEM 53.359375 1742372603.6539
MEM 65.515625 1742372603.7594
MEM 68.453125 1742372603.8611
MEM 76.781250 1742372603.9661
MEM 76.781250 1742372604.0706
MEM 76.781250 1742372604.1758
MEM 76.984375 1742372604.2811
MEM 76.984375 1742372604.3842
MEM 76.984375 1742372604.4897
MEM 77.359375 1742372604.5942
MEM 77.359375 1742372604.6953
MEM 77.453125 1742372604.8009
MEM 77.453125 1742372604.9040
MEM 77.453125 1742372605.0096
MEM 77.484375 1742372605.1126
MEM 77.484375 1742372605.2178
MEM 77.484375 1742372605.3202
MEM 77.484375 1742372605.4258
MEM 77.484375 1742372605.5310
MEM 77.484375 1742372605.6312
MEM 78.421875 1742372605.7367
MEM 78.421875 1742372605.8420
MEM 78.437500 1742372605.9426
MEM 78.437500 1742372606.0454
MEM 78.437500 1742372606.1511
MEM 78.437500 1742372606.2528
MEM 78.437500 1742372606.3543
MEM 78.437500 1742372606.4597
MEM 78.500000 1742372606.5649
MEM 78.500000 1742372606.6699
MEM 78.500000 1742372606.7729
MEM 78.640625 1742372606.8739
MEM 78.640625 1742372606.9762
MEM 78.640625 1742372607.0805
MEM 78.687500 1742372607.1833
MEM 78.687500 1742372607.2866
MEM 78.687500 1742372607.3906
MEM 78.687500 1742372607.4949
MEM 78.718750 1742372607.6004
MEM 78.718750 1742372607.7048
MEM 78.718750 1742372607.8103
MEM 78.718750 1742372607.9151
MEM 78.718750 1742372608.0200
MEM 78.718750 1742372608.1210
MEM 78.718750 1742372608.2266
MEM 78.718750 1742372608.3318
MEM 78.718750 1742372608.4335
MEM 78.765625 1742372608.5346
MEM 78.765625 1742372608.6405
MEM 78.765625 1742372608.7441
MEM 78.765625 1742372608.8466
MEM 78.765625 1742372608.9519
MEM 78.750000 1742372609.0545
MEM 78.750000 1742372609.1592
MEM 78.750000 1742372609.2627
MEM 79.828125 1742372609.3664
MEM 79.906250 1742372609.4718
MEM 79.906250 1742372609.5757
MEM 79.921875 1742372609.6763
MEM 79.921875 1742372609.7817
MEM 79.984375 1742372609.8872
MEM 80.000000 1742372609.9918
MEM 80.000000 1742372610.0971
MEM 80.031250 1742372610.2019
MEM 80.031250 1742372610.3061
MEM 80.031250 1742372610.4102
MEM 80.031250 1742372610.5155
MEM 80.031250 1742372610.6190
MEM 79.984375 1742372610.7244
MEM 79.984375 1742372610.8287
MEM 79.984375 1742372610.9313
MEM 79.984375 1742372611.0350
MEM 79.984375 1742372611.1382
MEM 79.984375 1742372611.2436
MEM 79.984375 1742372611.3482
MEM 80.203125 1742372611.4531
MEM 80.640625 1742372611.5545
MEM 80.640625 1742372611.6600
MEM 80.640625 1742372611.7629
MEM 80.640625 1742372611.8658
MEM 80.640625 1742372611.9675
MEM 80.640625 1742372612.0699
MEM 80.640625 1742372612.1705
MEM 80.640625 1742372612.2745
MEM 81.093750 1742372612.3760
MEM 81.656250 1742372612.4814
MEM 81.656250 1742372612.5868
MEM 81.656250 1742372612.6893
MEM 81.656250 1742372612.7906
MEM 81.656250 1742372612.8961
MEM 81.656250 1742372612.9984
MEM 81.656250 1742372613.1008
MEM 81.656250 1742372613.2064
MEM 81.687500 1742372613.3102
MEM 81.687500 1742372613.4118
MEM 81.687500 1742372613.5135
MEM 81.687500 1742372613.6188
MEM 81.687500 1742372613.7244
MEM 81.687500 1742372613.8283
MEM 81.687500 1742372613.9331
MEM 81.687500 1742372614.0380
MEM 81.687500 1742372614.1413
MEM 81.687500 1742372614.2468
MEM 81.687500 1742372614.3483
MEM 81.687500 1742372614.4504
MEM 81.843750 1742372614.5557
MEM 81.890625 1742372614.6608
MEM 81.890625 1742372614.7638
MEM 81.890625 1742372614.8694
MEM 81.890625 1742372614.9733
MEM 81.937500 1742372615.0788
MEM 81.984375 1742372615.1810
MEM 81.984375 1742372615.2864
MEM 82.015625 1742372615.3897
MEM 82.015625 1742372615.4919
MEM 82.015625 1742372615.5928
MEM 81.953125 1742372615.6982
MEM 81.953125 1742372615.8026
MEM 81.953125 1742372615.9031
MEM 81.953125 1742372616.0062
MEM 82.781250 1742372616.1114
MEM 83.390625 1742372616.2116
MEM 83.671875 1742372616.3120
MEM 83.812500 1742372616.4170
MEM 83.968750 1742372616.5180
MEM 84.093750 1742372616.6199
MEM 84.125000 1742372616.7254
MEM 84.125000 1742372616.8292
MEM 84.156250 1742372616.9339
MEM 84.187500 1742372617.0346
MEM 84.203125 1742372617.1375
MEM 84.265625 1742372617.2422
MEM 84.265625 1742372617.3474
MEM 84.265625 1742372617.4497
MEM 84.281250 1742372617.5531
MEM 84.312500 1742372617.6545
MEM 84.312500 1742372617.7574
MEM 84.312500 1742372617.8625
MEM 84.312500 1742372617.9628
MEM 84.312500 1742372618.0681
MEM 84.312500 1742372618.1698
MEM 84.312500 1742372618.2751
MEM 84.312500 1742372618.3774
MEM 84.828125 1742372618.4777
MEM 84.828125 1742372618.5828
MEM 84.828125 1742372618.6878
MEM 84.843750 1742372618.7888
MEM 84.843750 1742372618.8938
MEM 86.312500 1742372618.9989
MEM 87.171875 1742372619.1019
MEM 87.531250 1742372619.2070
MEM 88.609375 1742372619.3089
MEM 88.937500 1742372619.4140
MEM 89.296875 1742372619.5191
MEM 89.859375 1742372619.6195
MEM 90.687500 1742372619.7223
MEM 91.375000 1742372619.8256
MEM 92.093750 1742372619.9260
MEM 92.656250 1742372620.0310
MEM 93.359375 1742372620.1338
MEM 93.796875 1742372620.2389
MEM 94.390625 1742372620.3440
MEM 94.968750 1742372620.4490
MEM 95.421875 1742372620.5508
MEM 95.984375 1742372620.6543
MEM 96.468750 1742372620.7594
MEM 96.906250 1742372620.8645
MEM 97.187500 1742372620.9677
MEM 97.265625 1742372621.0698
MEM 97.265625 1742372621.1732
MEM 96.500000 1742372621.2784
MEM 96.500000 1742372621.3835
MEM 96.500000 1742372621.4887
MEM 96.500000 1742372621.5938
MEM 96.500000 1742372621.6989
MEM 96.500000 1742372621.8041
MEM 96.500000 1742372621.9094
MEM 96.500000 1742372622.0146
MEM 96.500000 1742372622.1184
MEM 96.500000 1742372622.2238
MEM 96.500000 1742372622.3275
MEM 96.531250 1742372622.4310
MEM 96.531250 1742372622.5349
MEM 96.531250 1742372622.6404
MEM 96.531250 1742372622.7457
